,symbol,metric,value
556,ANSS,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
557,ANSS,Forward Dividend & Yield,--
558,ANSS,Ex-Dividend Date,--
559,ANSS,1y Target Est,343.39 
560,AON,Previous Close,283.12 
561,AON,Open,283.56 
562,AON,Bid,286.92 x 800
563,AON,Ask,287.08 x 3000
564,AON,Day's Range,283.27 - 289.79 
565,AON,52 Week Range,268.06 - 347.37 
566,AON,Volume,"1,224,251 "
567,AON,Avg. Volume,"1,316,546 "
568,AON,Market Cap (intraday),62.403B 
569,AON,Beta (5Y Monthly),0.91
570,AON,PE Ratio (TTM),22.42 
571,AON,EPS (TTM),12.80 
572,AON,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
573,AON,Forward Dividend & Yield,2.70 (0.95%)
574,AON,Ex-Dividend Date,"Apr 30, 2024"
575,AON,1y Target Est,320.13 
576,APA,Previous Close,29.23 
577,APA,Open,28.95 
578,APA,Bid,28.79 x 1100
579,APA,Ask,28.88 x 900
580,APA,Day's Range,28.70 - 29.36 
581,APA,52 Week Range,28.67 - 46.15 
582,APA,Volume,"3,620,324 "
583,APA,Avg. Volume,"6,919,141 "
584,APA,Market Cap (intraday),10.709B 
585,APA,Beta (5Y Monthly),3.25
586,APA,PE Ratio (TTM),3.24 
587,APA,EPS (TTM),8.91 
588,APA,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
589,APA,Forward Dividend & Yield,1.00 (3.47%)
590,APA,Ex-Dividend Date,"Jul 22, 2024"
591,APA,1y Target Est,40.56 
592,AAPL,Previous Close,193.12 
593,AAPL,Open,193.66 
594,AAPL,Bid,204.29 x 200
595,AAPL,Ask,204.52 x 100
596,AAPL,Day's Range,193.64 - 205.45 
597,AAPL,52 Week Range,164.08 - 205.45 
598,AAPL,Volume,"94,727,276 "
599,AAPL,Avg. Volume,"60,814,360 "
600,AAPL,Market Cap (intraday),3.134T 
601,AAPL,Beta (5Y Monthly),1.25
602,AAPL,PE Ratio (TTM),31.79 
603,AAPL,EPS (TTM),6.43 
604,AAPL,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
605,AAPL,Forward Dividend & Yield,1.00 (0.52%)
606,AAPL,Ex-Dividend Date,"May 10, 2024"
607,AAPL,1y Target Est,190.22 
608,AMAT,Previous Close,221.73 
609,AMAT,Open,219.71 
610,AMAT,Bid,228.13 x 200
611,AMAT,Ask,228.38 x 500
612,AMAT,Day's Range,219.63 - 228.83 
613,AMAT,52 Week Range,129.21 - 228.83 
614,AMAT,Volume,"4,792,855 "
615,AMAT,Avg. Volume,"4,876,095 "
616,AMAT,Market Cap (intraday),188.911B 
617,AMAT,Beta (5Y Monthly),1.56
618,AMAT,PE Ratio (TTM),26.26 
619,AMAT,EPS (TTM),8.69 
620,AMAT,Earnings Date,"May 16, 2024"
621,AMAT,Forward Dividend & Yield,1.60 (0.70%)
622,AMAT,Ex-Dividend Date,"May 22, 2024"
623,AMAT,1y Target Est,238.50 
624,APTV,Previous Close,79.66 
625,APTV,Open,79.47 
626,APTV,Bid,77.35 x 1100
627,APTV,Ask,77.38 x 800
628,APTV,Day's Range,77.08 - 79.39 
629,APTV,52 Week Range,68.84 - 113.60 
630,APTV,Volume,"528,262 "
631,APTV,Avg. Volume,"2,368,522 "
632,APTV,Market Cap (intraday),21.073B 
633,APTV,Beta (5Y Monthly),1.88
634,APTV,PE Ratio (TTM),7.28 
635,APTV,EPS (TTM),10.64 
636,APTV,Earnings Date,"Aug 5, 2024 - Aug 19, 2024"
637,APTV,Forward Dividend & Yield,--
638,APTV,Ex-Dividend Date,"Feb 4, 2020"
639,APTV,1y Target Est,101.82 
640,ACGL,Previous Close,100.58 
641,ACGL,Open,100.29 
642,ACGL,Bid,80.29 x 200
